sensors/logging_button,2015-04-11 06:42:00.720,START
sensors/steering,2015-04-11 06:42:00.726,3.0
sensors/imu,2015-04-11 06:42:00.726,125.71,-4.79,-2.53
sensors/brake,2015-04-11 06:42:00.726,'brakeV0.1',false

sensors/imu,2015-04-11 06:42:00.743,125.71,-4.84,-2.54
sensors/steering,2015-04-11 06:42:00.759,7.0
sensors/brake,2015-04-11 06:42:00.759,'brakeV0.1',false

sensors/imu,2015-04-11 06:42:00.775,125.68,-4.8,-2.52
sensors/steering,2015-04-11 06:42:00.791,2.0
sensors/imu,2015-04-11 06:42:00.791,125.67,-4.84,-2.51
sensors/brake,2015-04-11 06:42:00.791,'brakeV0.1',false

sensors/encoder,2015-04-11 06:42:00.803,0.0,1469.3157142857142,0.0,0.0
sensors/steering,2015-04-11 06:42:00.807,3.0
sensors/imu,2015-04-11 06:42:00.807,125.64,-4.86,-2.51
sensors/brake,2015-04-11 06:42:00.823,'brakeV0.1',false

sensors/steering,2015-04-11 06:42:00.840,2.0
sensors/imu,2015-04-11 06:42:00.840,125.67,-4.85,-2.54
sensors/brake,2015-04-11 06:42:00.857,'brakeV0.1',false

sensors/imu,2015-04-11 06:42:00.857,125.65,-4.83,-2.55
sensors/imu,2015-04-11 06:42:00.873,125.67,-4.79,-2.58
sensors/steering,2015-04-11 06:42:00.873,13.0
sensors/brake,2015-04-11 06:42:00.890,'brakeV0.1',false

sensors/steering,2015-04-11 06:42:00.907,13.0
sensors/encoder,2015-04-11 06:42:00.907,0.0,1469.3157142857142,0.0,0.0
sensors/imu,2015-04-11 06:42:00.907,125.64,-4.82,-2.61
sensors/gps,2015-04-11 06:42:00.919,2015-04-11 10:42:41.919,40.433450319444134,N,8.585148269467885,W,2,10,1.13,305.1
sensors/brake,2015-04-11 06:42:00.923,'brakeV0.1',false

sensors/imu,2015-04-11 06:42:00.923,125.69,-4.84,-2.61
sensors/steering,2015-04-11 06:42:00.939,13.0
sensors/imu,2015-04-11 06:42:00.939,125.66,-4.87,-2.62
sensors/brake,2015-04-11 06:42:00.955,'brakeV0.1',false

sensors/steering,2015-04-11 06:42:00.971,13.0
sensors/imu,2015-04-11 06:42:00.979,125.78,-4.91,-2.64
sensors/imu,2015-04-11 06:42:00.979,125.76,-4.92,-2.65
sensors/brake,2015-04-11 06:42:00.987,'brakeV0.1',false

sensors/encoder,2015-04-11 06:42:00.996,0.0,1469.3157142857142,0.0,0.0
sensors/imu,2015-04-11 06:42:00.996,125.84,-4.92,-2.65
sensors/steering,2015-04-11 06:42:01.003,13.0
sensors/brake,2015-04-11 06:42:01.020,'brakeV0.1',false

sensors/imu,2015-04-11 06:42:01.029,125.84,-4.96,-2.65
sensors/steering,2015-04-11 06:42:01.036,13.0
sensors/imu,2015-04-11 06:42:01.045,125.82,-4.93,-2.64
sensors/brake,2015-04-11 06:42:01.053,'brakeV0.1',false

sensors/imu,2015-04-11 06:42:01.061,125.79,-4.92,-2.64
sensors/steering,2015-04-11 06:42:01.069,2.0
sensors/brake,2015-04-11 06:42:01.069,'brakeV0.1',false

sensors/imu,2015-04-11 06:42:01.077,125.77,-4.88,-2.63
sensors/encoder,2015-04-11 06:42:01.102,0.0,1469.3157142857142,0.0,0.0
sensors/steering,2015-04-11 06:42:01.102,11.0
sensors/brake,2015-04-11 06:42:01.102,'brakeV0.1',false

sensors/imu,2015-04-11 06:42:01.110,125.75,-4.89,-2.61
sensors/steering,2015-04-11 06:42:01.118,2.0
sensors/imu,2015-04-11 06:42:01.126,125.74,-4.92,-2.59
sensors/brake,2015-04-11 06:42:01.134,'brakeV0.1',false

sensors/imu,2015-04-11 06:42:01.142,125.71,-4.93,-2.56
sensors/steering,2015-04-11 06:42:01.151,7.0
