sensors/logging_button,2015-03-29 06:24:28.351,START
sensors/brake,2015-03-29 06:24:28.963,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:28.971,0.0,0.0,0.0,0.0,0.0,0.0,169.63,-6.37,-3.48
sensors/steering,2015-03-29 06:24:28.980,4514.0
sensors/brake,2015-03-29 06:24:28.996,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:29.003,0.0,0.0,0.0,0.0,0.0,0.0,169.62,-6.36,-3.48
sensors/steering,2015-03-29 06:24:29.012,4514.0
sensors/gps,2015-03-29 06:24:29.015,2015-03-29 10:25:06.015,40.433457961107294,N,8.585152724981308,W,1,4,2.85,302.6
sensors/imu,2015-03-29 06:24:29.020,0.0,0.0,0.0,0.0,0.0,0.0,169.62,-6.36,-3.47
sensors/encoder,2015-03-29 06:24:29.028,0.0,0.0,0.0,0.0
sensors/brake,2015-03-29 06:24:29.029,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:29.036,0.0,0.0,0.0,0.0,0.0,0.0,169.62,-6.36,-3.48
sensors/steering,2015-03-29 06:24:29.045,4514.0
sensors/brake,2015-03-29 06:24:29.045,'brakeV0.1',false

sensors/steering,2015-03-29 06:24:29.077,4514.0
sensors/brake,2015-03-29 06:24:29.077,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:29.080,0.0,0.0,0.0,0.0,0.0,0.0,169.62,-6.35,-3.47
sensors/imu,2015-03-29 06:24:29.080,0.0,0.0,0.0,0.0,0.0,0.0,169.63,-6.35,-3.47
sensors/imu,2015-03-29 06:24:29.096,0.0,0.0,0.0,0.0,0.0,0.0,169.63,-6.34,-3.48
sensors/brake,2015-03-29 06:24:29.110,'brakeV0.1',false

sensors/steering,2015-03-29 06:24:29.110,4514.0
sensors/imu,2015-03-29 06:24:29.112,0.0,0.0,0.0,0.0,0.0,0.0,169.64,-6.34,-3.47
sensors/encoder,2015-03-29 06:24:29.134,0.0,0.0,0.0,0.0
